timestamp,traffic
2019-12-05 18:59:00,72
2019-12-05 19:00:00,136
2019-12-05 19:01:00,254
2019-12-05 19:02:00,282
2019-12-05 19:03:00,286
2019-12-05 19:04:00,228
2019-12-05 19:05:00,340
2019-12-05 19:06:00,348
2019-12-05 19:07:00,310
2019-12-05 19:08:00,292
2019-12-05 19:09:00,246
2019-12-05 19:10:00,250
2019-12-05 19:11:00,324
2019-12-05 19:12:00,284
2019-12-05 19:13:00,274
2019-12-05 19:14:00,248
2019-12-05 19:15:00,318
2019-12-05 19:16:00,214
2019-12-05 19:17:00,284
2019-12-05 19:18:00,216
2019-12-05 19:19:00,262
2019-12-05 19:20:00,294
2019-12-05 19:21:00,250
2019-12-05 19:22:00,338
2019-12-05 19:23:00,336
2019-12-05 19:24:00,244
2019-12-05 19:25:00,250
2019-12-05 19:26:00,208
2019-12-05 19:27:00,224
2019-12-05 19:28:00,252
2019-12-05 19:29:00,284
2019-12-05 19:30:00,342
2019-12-05 19:31:00,208
2019-12-05 19:32:00,256
2019-12-05 19:33:00,186
2019-12-05 19:34:00,254
2019-12-05 19:35:00,214
2019-12-05 19:36:00,208
2019-12-05 19:37:00,330
2019-12-05 19:38:00,254
2019-12-05 19:39:00,268
2019-12-05 19:40:00,258
2019-12-05 19:41:00,350
2019-12-05 19:42:00,226
2019-12-05 19:43:00,228
2019-12-05 19:44:00,238
2019-12-05 19:45:00,210
2019-12-05 19:46:00,302
2019-12-05 19:47:00,238
2019-12-05 19:48:00,268
2019-12-05 19:49:00,236
2019-12-05 19:50:00,356
2019-12-05 19:51:00,294
2019-12-05 19:52:00,262
2019-12-05 19:53:00,268
2019-12-05 19:54:00,262
2019-12-05 19:55:00,298
2019-12-05 19:56:00,396
2019-12-05 19:57:00,276
2019-12-05 19:58:00,224
2019-12-05 19:59:00,270
2019-12-05 20:00:00,254
2019-12-05 20:01:00,286
2019-12-05 20:02:00,184
2019-12-05 20:03:00,304
2019-12-05 20:04:00,226
2019-12-05 20:05:00,256
2019-12-05 20:06:00,210
2019-12-05 20:07:00,360
2019-12-05 20:08:00,250
2019-12-05 20:09:00,310
2019-12-05 20:10:00,246
2019-12-05 20:11:00,300
2019-12-05 20:12:00,258
2019-12-05 20:13:00,278
2019-12-05 20:14:00,228
2019-12-05 20:15:00,194
2019-12-05 20:16:00,254
2019-12-05 20:17:00,212
2019-12-05 20:18:00,230
2019-12-05 20:19:00,376
2019-12-05 20:20:00,298
2019-12-05 20:21:00,244
2019-12-05 20:22:00,272
2019-12-05 20:23:00,294
2019-12-05 20:24:00,194
2019-12-05 20:25:00,264
2019-12-05 20:26:00,250
2019-12-05 20:27:00,240
2019-12-05 20:28:00,326
2019-12-05 20:29:00,290
2019-12-05 20:30:00,214
2019-12-05 20:31:00,234
2019-12-05 20:32:00,314
2019-12-05 20:33:00,298
2019-12-05 20:34:00,324
2019-12-05 20:35:00,274
2019-12-05 20:36:00,276
2019-12-05 20:37:00,234
2019-12-05 20:38:00,218
2019-12-05 20:39:00,222
2019-12-05 20:40:00,228
2019-12-05 20:41:00,158
2019-12-05 20:42:00,220
2019-12-05 20:43:00,374
2019-12-05 20:44:00,334
2019-12-05 20:45:00,232
2019-12-05 20:46:00,162
2019-12-05 20:47:00,260
2019-12-05 20:48:00,266
2019-12-05 20:49:00,200
2019-12-05 20:50:00,264
2019-12-05 20:51:00,290
2019-12-05 20:52:00,256
2019-12-05 20:53:00,204
2019-12-05 20:54:00,196
2019-12-05 20:55:00,226
2019-12-05 20:56:00,232
2019-12-05 20:57:00,258
2019-12-05 20:58:00,268
2019-12-05 20:59:00,256
2019-12-05 21:00:00,316
2019-12-05 21:01:00,298
2019-12-05 21:02:00,280
2019-12-05 21:03:00,268
2019-12-05 21:04:00,380
2019-12-05 21:05:00,268
2019-12-05 21:06:00,250
2019-12-05 21:07:00,268
2019-12-05 21:08:00,192
2019-12-05 21:09:00,230
2019-12-05 21:10:00,312
2019-12-05 21:11:00,336
2019-12-05 21:12:00,216
2019-12-05 21:13:00,280
2019-12-05 21:14:00,216
2019-12-05 21:15:00,212
2019-12-05 21:16:00,284
2019-12-05 21:17:00,358
2019-12-05 21:18:00,344
2019-12-05 21:19:00,304
2019-12-05 21:20:00,256
2019-12-05 21:21:00,246
2019-12-05 21:22:00,284
2019-12-05 21:23:00,380
2019-12-05 21:24:00,304
2019-12-05 21:25:00,316
2019-12-05 21:26:00,298
2019-12-05 21:27:00,198
2019-12-05 21:28:00,254
2019-12-05 21:29:00,204
2019-12-05 21:30:00,264
2019-12-05 21:31:00,274
2019-12-05 21:32:00,218
2019-12-05 21:33:00,278
2019-12-05 21:34:00,280
2019-12-05 21:35:00,278
2019-12-05 21:36:00,232
2019-12-05 21:37:00,314
2019-12-05 21:38:00,222
2019-12-05 21:39:00,282
2019-12-05 21:40:00,286
2019-12-05 21:41:00,204
2019-12-05 21:42:00,230
2019-12-05 21:43:00,216
2019-12-05 21:44:00,186
2019-12-05 21:45:00,210
2019-12-05 21:46:00,290
2019-12-05 21:47:00,302
2019-12-05 21:48:00,228
2019-12-05 21:49:00,226
2019-12-05 21:50:00,204
2019-12-05 21:51:00,278
2019-12-05 21:52:00,248
2019-12-05 21:53:00,304
2019-12-05 21:54:00,232
2019-12-05 21:55:00,180
2019-12-05 21:56:00,190
2019-12-05 21:57:00,248
2019-12-05 21:58:00,266
2019-12-05 21:59:00,226
2019-12-05 22:00:00,214
2019-12-05 22:01:00,280
2019-12-05 22:02:00,206
2019-12-05 22:03:00,228
2019-12-05 22:04:00,300
2019-12-05 22:05:00,252
2019-12-05 22:06:00,314
2019-12-05 22:07:00,304
2019-12-05 22:08:00,308
2019-12-05 22:09:00,226
2019-12-05 22:10:00,218
2019-12-05 22:11:00,310
2019-12-05 22:12:00,226
2019-12-05 22:13:00,274
2019-12-05 22:14:00,276
2019-12-05 22:15:00,264
2019-12-05 22:16:00,266
2019-12-05 22:17:00,236
2019-12-05 22:18:00,310
2019-12-05 22:19:00,300
2019-12-05 22:20:00,338
2019-12-05 22:21:00,308
2019-12-05 22:22:00,276
2019-12-05 22:23:00,300
2019-12-05 22:24:00,218
2019-12-05 22:25:00,254
2019-12-05 22:26:00,204
2019-12-05 22:27:00,350
2019-12-05 22:28:00,230
2019-12-05 22:29:00,212
2019-12-05 22:30:00,324
2019-12-05 22:31:00,160
2019-12-05 22:32:00,206
2019-12-05 22:33:00,238
2019-12-05 22:34:00,266
2019-12-05 22:35:00,246
2019-12-05 22:36:00,194
2019-12-05 22:37:00,228
2019-12-05 22:38:00,222
2019-12-05 22:39:00,298
2019-12-05 22:40:00,312
2019-12-05 22:41:00,312
2019-12-05 22:42:00,294
2019-12-05 22:43:00,218
2019-12-05 22:44:00,244
2019-12-05 22:45:00,352
2019-12-05 22:46:00,280
2019-12-05 22:47:00,310
2019-12-05 22:48:00,330
2019-12-05 22:49:00,374
2019-12-05 22:50:00,242
2019-12-05 22:51:00,250
2019-12-05 22:52:00,244
2019-12-05 22:53:00,198
2019-12-05 22:54:00,272
2019-12-05 22:55:00,302
2019-12-05 22:56:00,266
2019-12-05 22:57:00,214
2019-12-05 22:58:00,280
2019-12-05 22:59:00,222
2019-12-05 23:00:00,272
2019-12-05 23:01:00,154
2019-12-05 23:02:00,234
2019-12-05 23:03:00,330
2019-12-05 23:04:00,350
2019-12-05 23:05:00,280
2019-12-05 23:06:00,300
2019-12-05 23:07:00,344
2019-12-05 23:08:00,196
2019-12-05 23:09:00,284
